sts,src,dest,seqn
861000000.0,14,26,0
861000000.0,19,26,0
861000000.0,3,14,0
861000000.0,10,18,0
862000000.0,20,14,0
862000000.0,2,20,0
862000000.0,36,14,0
862000000.0,28,14,0
862000000.0,23,20,0
862000000.0,24,18,0
862000000.0,12,25,0
862000000.0,33,20,0
862000000.0,13,20,0
862000000.0,31,26,0
862000000.0,7,16,0
862000000.0,29,23,0
862000000.0,21,25,0
862000000.0,6,26,0
862000000.0,30,20,0
862000000.0,18,18,0
862000000.0,27,26,0
862000000.0,25,12,0
862000000.0,22,16,0
862000000.0,11,22,0
862000000.0,35,24,0
862000000.0,17,19,0
862000000.0,15,20,0
862000000.0,34,15,0
862000000.0,33,13,1
862000000.0,8,22,0
862000000.0,2,12,1
862000000.0,35,15,1
862000000.0,24,19,1
862000000.0,7,12,1
862000000.0,15,26,1
862000000.0,21,21,1
862000000.0,31,21,1
862000000.0,18,18,1
862000000.0,6,25,1
862000000.0,34,22,1
862000000.0,30,23,1
862000000.0,25,12,1
862000000.0,4,14,0
862000000.0,26,26,0
862000000.0,23,16,1
862000000.0,36,13,1
862000000.0,3,25,1
862000000.0,32,24,0
862000000.0,11,13,1
862000000.0,29,16,1
862000000.0,19,17,1
862000000.0,17,17,1
862000000.0,1,25,0
862000000.0,22,14,1
862000000.0,12,22,1
862000000.0,14,23,1
862000000.0,20,17,1
862000000.0,16,22,0
862000000.0,27,13,1
862000000.0,33,24,2
862000000.0,24,20,2
862000000.0,2,21,2
862000000.0,35,25,2
862000000.0,5,26,0
862000000.0,3,26,2
863000000.0,18,12,2
863000000.0,8,13,1
863000000.0,11,18,2
863000000.0,13,13,1
863000000.0,14,26,2
863000000.0,30,25,2
863000000.0,22,13,2
863000000.0,16,20,1
863000000.0,34,14,2
863000000.0,36,13,2
863000000.0,31,18,2
863000000.0,20,21,2
863000000.0,9,26,0
863000000.0,29,20,2
863000000.0,12,17,2
863000000.0,1,20,1
863000000.0,32,13,1
863000000.0,7,14,2
863000000.0,6,25,2
863000000.0,27,14,2
863000000.0,15,23,2
863000000.0,17,25,2
863000000.0,23,25,2
863000000.0,35,20,3
863000000.0,17,21,3
863000000.0,27,17,3
863000000.0,14,21,3
863000000.0,1,15,2
863000000.0,34,14,3
863000000.0,23,19,3
863000000.0,3,25,3
863000000.0,22,25,3
863000000.0,13,12,2
863000000.0,25,22,2
863000000.0,21,14,2
863000000.0,9,26,1
863000000.0,16,15,2
863000000.0,18,22,3
863000000.0,26,24,1
863000000.0,4,17,1
863000000.0,5,21,1
863000000.0,11,21,3
863000000.0,15,26,3
863000000.0,29,18,3
863000000.0,7,12,3
863000000.0,36,13,3
863000000.0,31,13,3
863000000.0,24,18,3
863000000.0,31,23,4
863000000.0,32,14,2
863000000.0,15,25,4
863000000.0,6,22,3
863000000.0,7,22,4
863000000.0,35,12,4
864000000.0,25,14,3
864000000.0,30,19,3
864000000.0,12,21,3
864000000.0,28,15,1
864000000.0,22,12,4
864000000.0,26,12,2
864000000.0,27,23,4
864000000.0,20,24,3
864000000.0,13,18,3
864000000.0,8,17,2
864000000.0,29,23,4
864000000.0,33,15,3
864000000.0,24,23,4
864000000.0,17,23,4
864000000.0,4,24,2
864000000.0,10,20,1
864000000.0,1,24,3
