sts,src,dest,seqn
861000000.0,19,12,0
861000000.0,11,16,0
862000000.0,17,13,0
862000000.0,16,26,0
862000000.0,13,12,0
862000000.0,14,23,0
862000000.0,24,15,0
862000000.0,21,18,0
862000000.0,23,24,0
862000000.0,25,24,0
862000000.0,18,26,0
862000000.0,12,13,0
862000000.0,14,22,1
862000000.0,15,15,0
862000000.0,23,25,1
862000000.0,22,17,0
862000000.0,21,23,1
862000000.0,13,26,1
862000000.0,16,16,1
862000000.0,19,19,1
862000000.0,12,14,1
862000000.0,18,18,1
862000000.0,24,14,1
862000000.0,17,18,1
862000000.0,25,21,1
862000000.0,23,18,2
863000000.0,22,20,1
863000000.0,26,17,0
863000000.0,21,15,2
863000000.0,18,25,2
863000000.0,13,24,2
863000000.0,17,12,2
863000000.0,14,21,2
863000000.0,12,12,2
863000000.0,20,22,0
863000000.0,19,20,2
863000000.0,16,25,2
863000000.0,11,26,1
863000000.0,22,18,2
863000000.0,15,17,1
863000000.0,13,12,3
863000000.0,25,26,2
863000000.0,17,15,3
863000000.0,26,22,1
863000000.0,19,23,3
863000000.0,21,16,3
863000000.0,12,14,3
863000000.0,16,20,3
863000000.0,11,22,2
863000000.0,19,15,4
864000000.0,13,20,4
864000000.0,18,25,3
864000000.0,25,18,3
864000000.0,24,24,2
864000000.0,23,22,3
864000000.0,26,16,2
864000000.0,17,18,4
864000000.0,22,13,3
864000000.0,15,16,2
864000000.0,16,13,4
864000000.0,14,13,3
864000000.0,12,17,4
864000000.0,18,16,4
864000000.0,23,24,4
864000000.0,13,14,5
864000000.0,19,19,5
864000000.0,24,23,3
864000000.0,22,26,4
864000000.0,14,14,4
864000000.0,12,12,5
864000000.0,26,14,3
864000000.0,11,13,3
864000000.0,23,15,5
864000000.0,15,24,3
864000000.0,16,24,5
864000000.0,12,23,6
864000000.0,25,20,4
865000000.0,18,21,5
865000000.0,19,17,6
865000000.0,13,20,6
865000000.0,21,17,4
865000000.0,22,20,5
865000000.0,20,22,1
865000000.0,17,12,5
865000000.0,11,12,4
865000000.0,24,22,4
865000000.0,16,22,6
865000000.0,12,23,7
865000000.0,26,23,4
865000000.0,24,22,5
865000000.0,20,20,2
865000000.0,21,15,5
865000000.0,23,14,6
865000000.0,17,16,6
865000000.0,18,15,6
865000000.0,15,12,4
866000000.0,19,15,7
866000000.0,26,12,5
866000000.0,22,14,6
866000000.0,12,17,8
866000000.0,13,20,7
866000000.0,25,23,5
866000000.0,16,22,7
866000000.0,11,21,5
866000000.0,20,12,3
866000000.0,20,22,4
866000000.0,18,19,7
866000000.0,23,15,7
866000000.0,12,16,9
866000000.0,14,22,5
866000000.0,16,22,8
866000000.0,17,15,7
866000000.0,21,20,6
866000000.0,22,23,7
866000000.0,24,19,6
866000000.0,19,21,8
866000000.0,25,19,6
866000000.0,13,17,8
866000000.0,20,23,5
867000000.0,26,12,6
867000000.0,24,19,7
867000000.0,25,25,7
867000000.0,15,16,5
867000000.0,14,19,6
867000000.0,16,12,9
867000000.0,23,22,8
867000000.0,22,26,8
867000000.0,13,12,9
867000000.0,19,15,9
867000000.0,12,18,10
867000000.0,18,22,8
867000000.0,22,15,9
867000000.0,15,20,6
867000000.0,25,22,8
867000000.0,14,16,7
867000000.0,19,22,10
