rts,src,dest,seqn,hops
941000000.0,14,22,0,6
942000000.0,19,16,0,2
942000000.0,16,22,0,7
942000000.0,20,23,0,8
942000000.0,35,15,0,2
942000000.0,29,21,0,4
942000000.0,24,25,0,1
942000000.0,17,16,0,1
942000000.0,26,15,0,3
942000000.0,21,23,0,2
942000000.0,9,25,0,4
942000000.0,18,21,0,8
942000000.0,15,21,0,7
942000000.0,15,25,1,7
942000000.0,21,12,1,3
942000000.0,2,23,0,7
942000000.0,16,19,1,1
942000000.0,23,20,0,10
942000000.0,20,23,1,9
942000000.0,12,15,0,1
942000000.0,33,22,0,8
942000000.0,4,18,1,6
942000000.0,29,25,1,2
942000000.0,25,13,0,9
942000000.0,32,21,1,3
942000000.0,10,12,1,1
942000000.0,30,13,0,9
942000000.0,7,16,0,2
942000000.0,31,23,0,5
942000000.0,11,23,1,7
942000000.0,14,24,1,8
942000000.0,18,12,1,2
942000000.0,17,15,1,1
942000000.0,8,17,1,2
942000000.0,3,13,1,5
942000000.0,16,20,2,4
942000000.0,17,16,2,1
943000000.0,14,17,2,1
943000000.0,23,20,1,10
943000000.0,11,19,2,2
943000000.0,18,17,2,1
943000000.0,6,16,0,4
943000000.0,13,14,1,1
943000000.0,21,21,2,2
943000000.0,33,21,1,9
943000000.0,35,25,2,3
943000000.0,20,19,2,2
943000000.0,9,14,1,1
943000000.0,10,14,2,1
943000000.0,27,22,2,1
943000000.0,15,12,2,2
943000000.0,24,12,1,7
943000000.0,34,18,1,7
943000000.0,36,13,1,5
943000000.0,4,13,2,6
943000000.0,1,19,1,7
943000000.0,18,13,3,2
943000000.0,32,21,2,3
943000000.0,7,26,1,3
943000000.0,2,18,1,5
943000000.0,27,24,3,1
943000000.0,24,23,2,2
943000000.0,36,17,2,5
943000000.0,34,24,2,2
943000000.0,26,25,2,1
943000000.0,6,20,1,6
943000000.0,8,24,2,5
943000000.0,30,17,1,7
943000000.0,3,21,2,5
943000000.0,11,15,3,1
943000000.0,10,24,3,6
943000000.0,20,18,3,2
943000000.0,29,25,3,1
943000000.0,19,19,1,2
943000000.0,21,17,3,2
943000000.0,33,21,2,8
943000000.0,15,23,3,8
943000000.0,23,14,2,7
943000000.0,4,19,3,4
943000000.0,13,23,2,9
943000000.0,9,17,2,1
943000000.0,22,12,2,4
943000000.0,25,23,1,4
943000000.0,14,22,3,7
943000000.0,16,20,3,4
943000000.0,22,23,3,1
943000000.0,6,16,2,3
943000000.0,30,21,2,4
943000000.0,19,16,2,2
944000000.0,15,13,4,3
944000000.0,28,25,1,1
944000000.0,10,12,4,1
944000000.0,34,26,3,4
944000000.0,8,15,3,2
944000000.0,9,12,3,1
944000000.0,32,20,3,7
944000000.0,36,18,3,6
944000000.0,18,13,4,2
944000000.0,35,23,3,4
944000000.0,1,12,2,5
944000000.0,20,25,4,8
944000000.0,13,16,3,4
944000000.0,23,26,3,2
944000000.0,3,14,3,3
944000000.0,24,26,3,1
944000000.0,17,18,4,1
944000000.0,4,18,4,4
944000000.0,21,21,4,2
944000000.0,25,18,2,8
944000000.0,12,26,1,7
944000000.0,26,18,3,7
944000000.0,34,25,4,2
944000000.0,32,24,4,3
944000000.0,12,21,2,4
944000000.0,7,21,3,5
944000000.0,4,13,5,5
944000000.0,2,12,2,3
944000000.0,35,14,4,3
944000000.0,6,26,3,5
944000000.0,3,13,4,1
944000000.0,36,14,4,5
944000000.0,13,26,4,7
944000000.0,31,26,2,1
944000000.0,24,22,4,1
944000000.0,21,15,5,3
945000000.0,3,20,5,4
945000000.0,23,23,4,2
945000000.0,32,22,5,2
945000000.0,18,12,5,2
945000000.0,36,18,5,6
945000000.0,1,12,4,3
945000000.0,13,12,5,1
945000000.0,11,25,5,6
945000000.0,20,19,6,2
945000000.0,19,20,4,1
945000000.0,14,18,5,3
945000000.0,21,16,6,3
945000000.0,30,19,3,8
945000000.0,12,20,3,3
945000000.0,17,16,5,1
945000000.0,15,15,5,2
945000000.0,25,16,4,6
945000000.0,33,19,3,8
945000000.0,8,19,4,3
945000000.0,33,19,3,8
945000000.0,29,20,5,8
945000000.0,26,16,5,7
945000000.0,31,17,3,5
945000000.0,35,17,5,4
945000000.0,15,16,6,1
945000000.0,35,22,6,3
945000000.0,26,19,6,7
945000000.0,30,13,4,7
945000000.0,11,20,6,4
945000000.0,19,13,5,3
945000000.0,17,14,6,2
945000000.0,13,13,6,3
945000000.0,4,13,7,3
945000000.0,8,20,5,4
945000000.0,12,20,4,5
945000000.0,34,13,5,6
945000000.0,21,20,7,1
945000000.0,1,23,5,5
945000000.0,7,16,4,1
945000000.0,3,22,6,9
945000000.0,14,16,6,3
945000000.0,27,12,6,6
945000000.0,29,13,6,6
946000000.0,20,23,7,12
946000000.0,4,12,8,2
946000000.0,2,24,4,3
946000000.0,35,12,7,3
946000000.0,7,12,5,1
946000000.0,12,13,5,1
946000000.0,14,23,7,6
946000000.0,34,16,6,8
946000000.0,36,12,6,3
946000000.0,33,15,4,6
946000000.0,18,23,6,12
946000000.0,1,14,6,4
946000000.0,10,16,6,1
946000000.0,31,14,4,7
946000000.0,6,20,5,6
946000000.0,32,15,6,5
946000000.0,15,14,7,1
946000000.0,3,23,7,5
946000000.0,17,20,7,1
946000000.0,21,15,8,3
946000000.0,13,24,7,5
946000000.0,19,24,6,10
946000000.0,11,20,7,2
946000000.0,35,14,8,3
946000000.0,14,20,8,3
946000000.0,3,24,8,4
946000000.0,6,24,6,5
946000000.0,20,20,8,2
946000000.0,17,25,8,7
946000000.0,7,17,6,3
946000000.0,21,13,9,2
946000000.0,33,25,5,1
946000000.0,19,21,7,1
946000000.0,15,16,8,1
946000000.0,8,22,6,7
946000000.0,23,21,5,2
946000000.0,10,21,7,6
946000000.0,18,13,7,2
946000000.0,26,25,7,1
946000000.0,25,24,7,3
946000000.0,9,12,5,1
946000000.0,4,14,9,1
946000000.0,24,22,7,1
946000000.0,36,25,7,3
