sts,src,dest,seqn
941000000.0,22,15,0
941000000.0,14,22,0
941000000.0,10,21,0
941000000.0,11,16,0
942000000.0,27,18,0
942000000.0,19,16,0
942000000.0,16,22,0
942000000.0,29,21,0
942000000.0,28,18,0
942000000.0,4,18,0
942000000.0,20,23,0
942000000.0,35,15,0
942000000.0,3,23,0
942000000.0,8,22,0
942000000.0,1,12,0
942000000.0,9,25,0
942000000.0,34,26,0
942000000.0,18,21,0
942000000.0,15,21,0
942000000.0,21,23,0
942000000.0,26,15,0
942000000.0,24,25,0
942000000.0,17,16,0
942000000.0,13,26,0
942000000.0,32,14,0
942000000.0,21,12,1
942000000.0,15,25,1
942000000.0,2,23,0
942000000.0,29,25,1
942000000.0,23,20,0
942000000.0,16,19,1
942000000.0,20,23,1
942000000.0,27,17,1
942000000.0,33,22,0
942000000.0,12,15,0
942000000.0,4,18,1
942000000.0,32,21,1
942000000.0,35,17,1
942000000.0,25,13,0
942000000.0,31,23,0
942000000.0,36,18,0
942000000.0,10,12,1
942000000.0,11,23,1
942000000.0,30,13,0
942000000.0,7,16,0
942000000.0,14,24,1
942000000.0,18,12,1
942000000.0,17,15,1
942000000.0,8,17,1
942000000.0,3,13,1
942000000.0,26,15,1
942000000.0,16,20,2
942000000.0,17,16,2
942000000.0,23,20,1
943000000.0,14,17,2
943000000.0,21,21,2
943000000.0,29,12,2
943000000.0,6,16,0
943000000.0,33,21,1
943000000.0,11,19,2
943000000.0,18,17,2
943000000.0,13,14,1
943000000.0,35,25,2
943000000.0,20,19,2
943000000.0,9,14,1
943000000.0,10,14,2
943000000.0,27,22,2
943000000.0,22,17,1
943000000.0,15,12,2
943000000.0,34,18,1
943000000.0,24,12,1
943000000.0,36,13,1
943000000.0,31,13,1
943000000.0,4,13,2
943000000.0,1,19,1
943000000.0,18,13,3
943000000.0,32,21,2
943000000.0,7,26,1
943000000.0,2,18,1
943000000.0,27,24,3
943000000.0,24,23,2
943000000.0,36,17,2
943000000.0,6,20,1
943000000.0,8,24,2
943000000.0,34,24,2
943000000.0,26,25,2
943000000.0,3,21,2
943000000.0,30,17,1
943000000.0,10,24,3
943000000.0,23,14,2
943000000.0,11,15,3
943000000.0,17,23,3
943000000.0,15,23,3
943000000.0,20,18,3
943000000.0,29,25,3
943000000.0,19,19,1
943000000.0,21,17,3
943000000.0,33,21,2
943000000.0,13,23,2
943000000.0,9,17,2
943000000.0,25,23,1
943000000.0,4,19,3
943000000.0,14,22,3
943000000.0,22,12,2
943000000.0,16,20,3
943000000.0,6,16,2
943000000.0,22,23,3
943000000.0,30,21,2
943000000.0,19,16,2
944000000.0,15,13,4
944000000.0,28,25,1
944000000.0,10,12,4
944000000.0,34,26,3
944000000.0,8,15,3
944000000.0,20,25,4
944000000.0,9,12,3
944000000.0,25,18,2
944000000.0,32,20,3
944000000.0,36,18,3
944000000.0,7,12,2
944000000.0,35,23,3
944000000.0,1,12,2
944000000.0,18,13,4
944000000.0,26,18,3
944000000.0,13,16,3
944000000.0,29,13,4
944000000.0,23,26,3
944000000.0,3,14,3
944000000.0,24,26,3
944000000.0,17,18,4
944000000.0,21,21,4
944000000.0,4,18,4
944000000.0,12,26,1
944000000.0,34,25,4
944000000.0,11,23,4
944000000.0,32,24,4
944000000.0,7,21,3
944000000.0,1,21,3
944000000.0,12,21,2
944000000.0,19,24,3
944000000.0,4,13,5
944000000.0,2,12,2
944000000.0,20,18,5
944000000.0,35,14,4
944000000.0,6,26,3
944000000.0,27,12,4
944000000.0,3,13,4
944000000.0,36,14,4
944000000.0,13,26,4
944000000.0,31,26,2
944000000.0,14,24,4
944000000.0,25,13,3
944000000.0,26,14,4
944000000.0,33,19,3
944000000.0,21,15,5
944000000.0,24,22,4
944000000.0,25,16,4
944000000.0,29,20,5
944000000.0,3,20,5
945000000.0,32,22,5
945000000.0,23,23,4
945000000.0,36,18,5
945000000.0,1,12,4
945000000.0,18,12,5
945000000.0,11,25,5
945000000.0,13,12,5
945000000.0,10,23,5
945000000.0,4,14,6
945000000.0,2,22,3
945000000.0,20,19,6
945000000.0,14,18,5
945000000.0,19,20,4
945000000.0,9,15,4
945000000.0,26,16,5
945000000.0,27,23,5
945000000.0,15,15,5
945000000.0,21,16,6
945000000.0,30,19,3
945000000.0,8,19,4
945000000.0,24,17,5
945000000.0,12,20,3
945000000.0,17,16,5
945000000.0,31,17,3
945000000.0,35,17,5
945000000.0,19,13,5
945000000.0,26,19,6
945000000.0,35,22,6
945000000.0,15,16,6
945000000.0,11,20,6
945000000.0,30,13,4
945000000.0,17,14,6
945000000.0,25,18,5
945000000.0,12,20,4
945000000.0,13,13,6
945000000.0,4,13,7
945000000.0,8,20,5
945000000.0,6,18,4
945000000.0,34,13,5
945000000.0,21,20,7
945000000.0,1,23,5
945000000.0,27,12,6
945000000.0,7,16,4
945000000.0,28,17,2
945000000.0,3,22,6
945000000.0,29,13,6
945000000.0,14,16,6
945000000.0,20,23,7
945000000.0,14,23,7
946000000.0,2,24,4
946000000.0,4,12,8
946000000.0,7,12,5
946000000.0,35,12,7
946000000.0,25,18,6
946000000.0,18,23,6
946000000.0,12,13,5
946000000.0,34,16,6
946000000.0,36,12,6
946000000.0,33,15,4
946000000.0,24,14,6
946000000.0,28,14,3
946000000.0,1,14,6
946000000.0,31,14,4
946000000.0,10,16,6
946000000.0,32,15,6
946000000.0,6,20,5
946000000.0,15,14,7
946000000.0,3,23,7
946000000.0,21,15,8
946000000.0,19,24,6
946000000.0,13,24,7
946000000.0,17,20,7
946000000.0,28,13,4
946000000.0,11,20,7
946000000.0,21,13,9
946000000.0,35,14,8
946000000.0,14,20,8
946000000.0,3,24,8
946000000.0,6,24,6
946000000.0,32,20,7
946000000.0,7,17,6
946000000.0,20,20,8
946000000.0,17,25,8
946000000.0,26,25,7
946000000.0,8,22,6
946000000.0,33,25,5
946000000.0,19,21,7
946000000.0,15,16,8
946000000.0,23,21,5
946000000.0,25,24,7
946000000.0,10,21,7
946000000.0,18,13,7
946000000.0,2,19,5
946000000.0,27,23,7
946000000.0,4,14,9
946000000.0,9,12,5
946000000.0,24,22,7
946000000.0,36,25,7
946000000.0,6,23,7
946000000.0,2,25,6
946000000.0,11,22,8
946000000.0,29,26,7
946000000.0,24,25,8
946000000.0,15,13,9
946000000.0,33,22,6
946000000.0,10,19,8
947000000.0,9,16,6
947000000.0,12,23,6
947000000.0,32,17,8
947000000.0,21,17,10
947000000.0,17,12,9
